id,name,r,g,b
0,White,255,255,255
1,Red,238,32,77
2,Red-Orange,255,63,52
3,Orange,255,136,51
4,Yellow-Orange,255,174,66
5,Yellow,251,232,112
6,Yellow-Green,197,225,122
7,Green,1,163,104
8,Blue-Green,0,149,183
9,Blue,0,102,255
10,Blue-Violet,100,86,183
11,Violet,131,89,163
12,Red-Violet,187,51,133
13,Carnation Pink,255,166,201
14,Brown,175,89,62
15,Black,0,0,0
